date_hour,demand,temperature
2014-01-01T00,3.794,18.05
2014-01-01T01,3.418,17.2
2014-01-01T02,3.152,16.45
2014-01-01T03,3.026,16.65
2014-01-01T04,3.022,16.4
2014-01-01T05,3.055,17.95
2014-01-01T06,3.18,19.7
2014-01-01T07,3.276,20.6
2014-01-01T08,3.467,22.35
2014-01-01T09,3.62,23.7
2014-01-01T10,3.73,24.8
2014-01-01T11,3.858,25.9
2014-01-01T12,3.851,25.3
2014-01-01T13,3.839,23.65
2014-01-01T14,3.861,20.7
2014-01-01T15,3.912,19.15
2014-01-01T16,4.082,22.65
2014-01-01T17,4.118,22.65
2014-01-01T18,4.011,22.4
2014-01-01T19,3.965,22.15
2014-01-01T20,3.932,22.05
2014-01-01T21,3.693,22.15
2014-01-01T22,3.585,21
2014-01-01T23,4.001,19.5
2014-01-02T00,3.623,18.45
2014-01-02T01,3.249,17.25
2014-01-02T02,3.047,16.3
2014-01-02T03,3.004,15.7
2014-01-02T04,3.104,15.5
2014-01-02T05,3.361,15.45
2014-01-02T06,3.749,15.65
2014-01-02T07,3.91,16.5
2014-01-02T08,4.075,18.1
2014-01-02T09,4.165,17.8
2014-01-02T10,4.202,19.1
2014-01-02T11,4.225,19.85
2014-01-02T12,4.265,20.3
2014-01-02T13,4.301,21.05
2014-01-02T14,4.381,22.8
2014-01-02T15,4.484,21.65
2014-01-02T16,4.552,20.15
2014-01-02T17,4.44,19.3
2014-01-02T18,4.233,18.75
2014-01-02T19,4.145,17.9
2014-01-02T20,4.116,17.35
2014-01-02T21,3.831,16.85
2014-01-02T22,3.712,16.35
2014-01-02T23,4.121,15.7
2014-01-03T00,3.764,14.95
2014-01-03T01,3.394,14.5
2014-01-03T02,3.159,14.35
2014-01-03T03,3.081,14.45
2014-01-03T04,3.216,14.6
2014-01-03T05,3.468,14.6
2014-01-03T06,3.838,14.7
2014-01-03T07,4.012,15.45
2014-01-03T08,4.183,16.7
2014-01-03T09,4.269,18.3
2014-01-03T10,4.28,20.1
2014-01-03T11,4.31,20.65
2014-01-03T12,4.315,19.45
2014-01-03T13,4.233,20.2
2014-01-03T14,4.188,20.25
2014-01-03T15,4.263,20.05
2014-01-03T16,4.37,20.25
2014-01-03T17,4.308,20.95
2014-01-03T18,4.182,21.9
2014-01-03T19,4.075,21
2014-01-03T20,4.057,19.9
2014-01-03T21,3.791,19.25
2014-01-03T22,3.667,17.3
2014-01-03T23,4.036,16.3
2014-01-04T00,3.636,15.8
2014-01-04T01,3.283,15
2014-01-04T02,3.073,14.4
2014-01-04T03,3.003,14.05
2014-01-04T04,3.023,13.65
2014-01-04T05,3.113,13.5
2014-01-04T06,3.335,14.15
2014-01-04T07,3.484,15.3
2014-01-04T08,3.697,14.8
2014-01-04T09,3.723,17.05
2014-01-04T10,3.786,18.35
2014-01-04T11,3.763,19.45
2014-01-04T12,3.748,18.55
2014-01-04T13,3.714,18.65
2014-01-04T14,3.737,18.85
2014-01-04T15,3.828,19.8
2014-01-04T16,3.937,19.65
2014-01-04T17,3.929,18.9
2014-01-04T18,3.877,19.5
2014-01-04T19,3.829,17.7
2014-01-04T20,3.95,17.35
2014-01-04T21,3.756,16.95
2014-01-04T22,3.638,16.4
2014-01-04T23,4.045,15.95
2014-01-05T00,3.682,14.9
2014-01-05T01,3.283,14.25
2014-01-05T02,3.036,13.05
2014-01-05T03,2.933,12
2014-01-05T04,2.956,11.5
2014-01-05T05,2.959,10.95
2014-01-05T06,3.157,12.3
2014-01-05T07,3.236,16.1
2014-01-05T08,3.37,17.1
2014-01-05T09,3.493,19.6
2014-01-05T10,3.516,21.1
2014-01-05T11,3.555,22.6
2014-01-05T12,3.57,24.35
2014-01-05T13,3.656,25.25
2014-01-05T14,3.792,25.75
2014-01-05T15,3.95,20.35
2014-01-05T16,3.953,15.55
2014-01-05T17,3.926,18.3
